CITY,DATE,DEWP,DEWP_ATTRIBUTES,ELEVATION,FRSHTT,GUST,LATITUDE,LONGITUDE,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,MXSPD,NAME,PRCP,PRCP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,SNDP,STATION,STP,STP_ATTRIBUTES,TEMP,TEMP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES
Cinci,2025-01-11,21.9,24.0,144.8,001000,17.1,39.106,-84.41609,36.0,,7.0,,13.0,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0.0,,1011.9,14.0,,72429793812,992.0,24.0,28.1,24.0,4.9,24.0,5.7,24.0
Cinci,2025-01-12,21.9,24.0,144.8,000000,22.9,39.106,-84.41609,41.0,,17.1,,19.0,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0.25,,1016.8,23.0,,72429793812,998.3,24.0,28.3,24.0,7.5,24.0,5.7,24.0
Cinci,2025-01-13,20.7,24.0,144.8,000000,19.0,39.106,-84.41609,41.0,,19.0,,14.0,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0.0,,1021.2,18.0,,72429793812,2.0,24.0,32.7,24.0,9.9,24.0,9.3,24.0
Cinci,2025-01-14,7.7,24.0,144.8,000000,28.9,39.106,-84.41609,37.9,,5.0,,21.0,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0.0,,1026.8,24.0,,72429793812,7.9,24.0,19.8,24.0,10.0,24.0,8.2,24.0
Cinci,2025-01-15,4.4,24.0,144.8,000000,15.9,39.106,-84.41609,30.9,,1.9,,8.0,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0.0,,1033.8,24.0,,72429793812,14.7,24.0,14.2,24.0,9.1,23.0,3.3,24.0
Cinci,2025-01-16,17.5,24.0,144.8,000000,27.0,39.106,-84.41609,37.0,,18.0,,18.1,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0.0,,1018.8,24.0,,72429793812,0.2,24.0,28.6,24.0,9.8,24.0,8.9,24.0
Cinci,2025-01-17,25.5,24.0,144.8,000000,20.0,39.106,-84.41609,44.1,,18.0,,13.0,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0.0,,1017.8,23.0,,72429793812,999.8,24.0,33.8,24.0,9.2,24.0,5.0,24.0
Cinci,2025-01-18,30.4,24.0,144.8,010000,22.0,39.106,-84.41609,41.0,,35.1,,13.0,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0.26,,1009.3,18.0,,72429793812,990.6,24.0,37.9,24.0,7.8,24.0,5.0,24.0
Cinci,2025-01-19,19.2,24.0,144.8,001000,24.1,39.106,-84.41609,35.1,,19.0,,15.0,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0.15,,1017.7,22.0,,72429793812,999.2,24.0,28.4,24.0,9.0,24.0,10.2,24.0
Cinci,2025-01-20,-4.9,24.0,144.8,000000,25.1,39.106,-84.41609,17.6,,5.0,,12.0,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0.0,,1033.9,23.0,,72429793812,14.4,24.0,9.9,24.0,10.0,24.0,8.5,24.0
Cinci,2025-01-21,-2.0,24.0,144.8,001000,20.0,39.106,-84.41609,15.1,,3.0,,15.9,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0.0,,1036.7,22.0,,72429793812,17.3,24.0,8.9,24.0,8.8,24.0,6.0,24.0
Cinci,2025-01-22,-5.5,24.0,144.8,000000,,39.106,-84.41609,21.0,,-2.0,,9.9,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0.0,,1034.0,24.0,,72429793812,14.7,24.0,6.9,24.0,9.9,24.0,4.1,24.0
Cinci,2025-01-23,10.9,21.0,144.8,000000,17.1,39.106,-84.41609,33.1,,-2.0,,12.0,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0.0,,1024.5,19.0,,72429793812,6.5,7.0,22.0,21.0,9.8,21.0,5.1,21.0
Cinci,2025-01-24,10.8,24.0,144.8,001000,,39.106,-84.41609,33.1,,8.1,,9.9,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0.0,,1027.5,22.0,,72429793812,,0.0,22.2,24.0,9.4,24.0,5.4,24.0
Cinci,2025-01-25,14.6,24.0,144.8,000000,22.9,39.106,-84.41609,43.0,,10.0,,14.0,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0.0,,1026.5,24.0,,72429793812,7.5,20.0,26.3,24.0,9.8,24.0,5.4,24.0
Cinci,2025-01-26,21.0,24.0,144.8,000000,,39.106,-84.41609,43.0,,14.0,,7.0,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0.0,,1026.7,24.0,,72429793812,8.0,24.0,30.2,24.0,9.8,24.0,2.5,24.0
Cinci,2025-01-27,16.9,24.0,144.8,000000,21.0,39.106,-84.41609,41.0,,15.1,,15.0,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0.0,,1022.3,24.0,,72429793812,7.3,5.0,26.8,24.0,9.6,24.0,4.5,24.0
Cinci,2025-01-28,20.6,24.0,144.8,000000,25.1,39.106,-84.41609,48.0,,15.1,,14.0,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0.0,,1012.8,24.0,,72429793812,,0.0,37.6,24.0,10.0,24.0,9.6,24.0
Cinci,2025-01-29,25.8,24.0,144.8,000000,25.1,39.106,-84.41609,50.0,,28.9,,15.9,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0.0,,1011.3,24.0,,72429793812,,0.0,43.6,24.0,10.0,24.0,9.5,24.0
Cinci,2025-01-30,26.5,24.0,144.8,010000,,39.106,-84.41609,52.0,,23.0,,11.1,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0.0,,1020.3,23.0,,72429793812,1.8,20.0,34.3,24.0,9.5,24.0,1.9,24.0
Cinci,2025-01-31,45.5,17.0,144.8,010000,22.9,39.106,-84.41609,62.1,,41.0,,15.0,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0.15,,1009.4,9.0,,72429793812,989.7,17.0,50.8,17.0,6.2,17.0,9.3,17.0
Cinci,2025-02-01,27.4,24.0,144.8,000000,24.1,39.106,-84.41609,54.0,,30.0,,15.0,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0.0,,1022.1,24.0,,72429793812,3.7,24.0,39.3,24.0,9.8,24.0,8.0,24.0
Cinci,2025-02-02,30.3,24.0,144.8,000000,18.1,39.106,-84.41609,59.0,,24.1,,14.0,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0.0,,1021.2,23.0,,72429793812,2.8,24.0,37.7,24.0,10.0,24.0,4.0,24.0
Cinci,2025-02-03,39.6,24.0,144.8,000000,28.0,39.106,-84.41609,71.1,,24.1,,18.1,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0.0,,1015.4,23.0,,72429793812,997.4,24.0,48.9,24.0,8.6,24.0,5.3,24.0
Cinci,2025-02-04,36.1,24.0,144.8,000000,22.0,39.106,-84.41609,71.1,,34.0,,15.0,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0.0,,1020.8,21.0,,72429793812,3.1,24.0,46.3,24.0,8.8,24.0,6.3,24.0
Cinci,2025-02-05,25.4,24.0,144.8,010000,,39.106,-84.41609,37.9,,33.1,,11.1,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0.0,,1026.7,21.0,,72429793812,7.4,24.0,35.0,24.0,8.6,24.0,7.4,24.0
Cinci,2025-02-06,37.0,24.0,144.8,010010,19.0,39.106,-84.41609,55.4,,33.8,,11.1,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",1.1,,1013.6,12.0,,72429793812,995.2,24.0,41.1,24.0,5.8,24.0,4.1,24.0
Cinci,2025-02-07,22.2,24.0,144.8,000000,,39.106,-84.41609,55.0,,32.0,,8.0,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0.09,,1024.0,24.0,,72429793812,5.6,24.0,37.0,24.0,10.0,24.0,4.9,24.0
Cinci,2025-02-08,27.8,24.0,144.8,010000,14.0,39.106,-84.41609,48.9,,32.0,,8.9,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0.0,,1018.6,21.0,,72429793812,999.0,24.0,39.2,24.0,8.4,24.0,5.0,24.0
Cinci,2025-02-09,27.6,24.0,144.8,000000,22.9,39.106,-84.41609,48.9,,32.0,,12.0,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0.17,,1023.2,21.0,,72429793812,4.7,24.0,37.0,24.0,9.7,24.0,6.1,24.0
Cinci,2025-02-10,20.6,24.0,144.8,000000,,39.106,-84.41609,45.0,,27.0,,8.9,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0.0,,1032.0,23.0,,72429793812,13.4,24.0,34.5,24.0,9.6,24.0,4.5,24.0
Cinci,2025-02-11,26.1,24.0,144.8,101000,,39.106,-84.41609,45.0,,27.0,,9.9,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0.0,,1026.5,17.0,,72429793812,6.3,24.0,34.7,24.0,6.5,24.0,5.2,24.0
Cinci,2025-02-12,30.6,24.0,144.8,011000,,39.106,-84.41609,36.0,,30.2,,11.1,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0.36,,1013.4,12.0,,72429793812,996.9,24.0,33.1,24.0,2.3,24.0,6.4,24.0
Cinci,2025-02-13,28.9,24.0,144.8,110000,27.0,39.106,-84.41609,42.1,,28.9,,20.0,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0.3,,1020.1,15.0,,72429793812,997.6,24.0,34.5,24.0,6.1,24.0,9.5,24.0
Cinci,2025-02-14,11.5,24.0,144.8,000000,20.0,39.106,-84.41609,42.1,,15.1,,11.1,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0.14,,1037.8,24.0,,72429793812,18.9,24.0,25.2,24.0,9.9,24.0,4.2,24.0
Cinci,2025-02-15,30.1,24.0,144.8,110000,,39.106,-84.41609,42.8,,33.1,,6.0,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0.2,,1022.1,14.0,,72429793812,0.6,24.0,36.8,24.0,5.7,24.0,2.3,24.0
Cinci,2025-02-16,34.1,24.0,144.8,111010,28.0,39.106,-84.41609,43.0,,30.9,,18.1,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",3.25,,1010.3,9.0,,72429793812,986.2,24.0,37.2,24.0,3.4,24.0,7.7,24.0
Cinci,2025-02-17,11.3,24.0,144.8,001000,25.1,39.106,-84.41609,43.0,,17.1,,15.0,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0.19,,1025.5,21.0,,72429793812,6.5,24.0,23.0,24.0,9.0,24.0,9.6,24.0
Cinci,2025-02-18,6.3,24.0,144.8,001000,,39.106,-84.41609,26.1,,15.1,,9.9,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0.0,,1031.1,24.0,,72429793812,12.1,24.0,19.7,24.0,9.0,24.0,6.3,24.0
Cinci,2025-02-19,7.8,24.0,144.8,001000,,39.106,-84.41609,24.1,,15.1,,12.0,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0.0,,1031.6,17.0,,72429793812,12.9,24.0,18.6,24.0,7.7,24.0,8.1,24.0
Cinci,2025-02-20,8.8,24.0,144.8,001000,19.0,39.106,-84.41609,24.1,,12.9,,13.0,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0.0,,1030.4,16.0,,72429793812,10.8,24.0,18.7,24.0,7.3,24.0,7.9,24.0
Cinci,2025-02-21,12.3,24.0,144.8,000000,19.0,39.106,-84.41609,30.9,,12.9,,12.0,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0.0,,1036.9,22.0,,72429793812,17.9,24.0,22.8,24.0,9.9,24.0,6.1,24.0
Cinci,2025-02-22,18.2,24.0,144.8,000000,,39.106,-84.41609,37.9,,15.1,,8.9,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0.0,,1031.6,24.0,,72429793812,12.7,24.0,25.7,24.0,8.7,24.0,2.5,24.0
Cinci,2025-02-23,19.7,24.0,144.8,000000,17.1,39.106,-84.41609,46.9,,15.1,,9.9,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0.0,,1024.2,24.0,,72429793812,5.6,24.0,33.2,24.0,9.6,24.0,4.9,24.0
Cinci,2025-02-24,26.9,24.0,144.8,000000,26.0,39.106,-84.41609,57.0,,19.0,,15.9,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0.0,,1016.3,24.0,,72429793812,998.0,24.0,38.9,24.0,9.4,24.0,6.0,24.0
Cinci,2025-02-25,35.5,24.0,144.8,010000,24.1,39.106,-84.41609,66.0,,26.1,,17.1,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0.04,,1010.2,23.0,,72429793812,992.2,24.0,50.6,24.0,9.5,24.0,5.7,24.0
Cinci,2025-02-26,36.5,24.0,144.8,100000,25.1,39.106,-84.41609,72.0,,30.0,,15.0,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0.0,,1011.7,18.0,,72429793812,994.4,24.0,46.8,24.0,8.2,24.0,4.5,24.0
Cinci,2025-02-27,42.1,24.0,144.8,010000,25.1,39.106,-84.41609,57.0,,46.9,,15.9,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0.3,,1010.3,22.0,,72429793812,992.4,24.0,51.7,24.0,8.9,24.0,8.6,24.0
Cinci,2025-02-28,30.0,21.0,144.8,000000,34.0,39.106,-84.41609,63.0,,28.9,,22.9,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0.05,,1012.7,21.0,,72429793812,994.6,21.0,44.4,21.0,9.7,21.0,8.2,20.0
Dallas,2025-01-01,32.7,24.0,165.7,000000,15.9,32.89744,-97.02196,60.1,,36.0,,11.1,"DAL FTW WSCMO AIRPORT, TX US",0.0,,1025.2,24.0,,72259003927,4.6,19.0,44.7,24.0,10.0,24.0,6.8,24.0
Dallas,2025-01-02,34.6,24.0,165.7,000000,17.1,32.89744,-97.02196,61.0,,35.1,,12.0,"DAL FTW WSCMO AIRPORT, TX US",0.0,,1024.6,24.0,,72259003927,2.6,24.0,45.7,24.0,10.0,24.0,4.4,24.0
Dallas,2025-01-03,41.2,24.0,165.7,000000,,32.89744,-97.02196,63.0,,36.0,,8.9,"DAL FTW WSCMO AIRPORT, TX US",0.0,,1025.8,24.0,,72259003927,4.3,24.0,50.5,24.0,9.9,24.0,4.4,24.0
Dallas,2025-01-04,47.2,24.0,165.7,000000,25.1,32.89744,-97.02196,66.9,,55.0,,18.1,"DAL FTW WSCMO AIRPORT, TX US",0.0,,1020.1,24.0,,72259003927,998.6,24.0,58.9,24.0,10.0,24.0,9.2,24.0
Dallas,2025-01-05,44.4,24.0,165.7,010000,41.0,32.89744,-97.02196,68.0,,33.1,,33.0,"DAL FTW WSCMO AIRPORT, TX US",0.0,,1011.8,22.0,,72259003927,990.6,24.0,55.8,24.0,9.8,24.0,18.6,24.0
Dallas,2025-01-06,12.3,24.0,165.7,000000,35.0,32.89744,-97.02196,39.9,,21.0,,27.0,"DAL FTW WSCMO AIRPORT, TX US",0.0,,1027.8,24.0,,72259003927,5.7,24.0,28.7,24.0,10.0,24.0,16.9,24.0
Dallas,2025-01-07,11.9,24.0,165.7,000000,19.0,32.89744,-97.02196,39.9,,21.9,,12.0,"DAL FTW WSCMO AIRPORT, TX US",0.0,,1031.5,24.0,,72259003927,9.3,24.0,31.0,24.0,10.0,24.0,8.8,24.0
Dallas,2025-01-08,15.8,24.0,165.7,000000,22.0,32.89744,-97.02196,39.9,,25.2,,13.0,"DAL FTW WSCMO AIRPORT, TX US",0.0,,1035.2,24.0,,72259003927,12.6,24.0,32.9,24.0,10.0,24.0,9.3,24.0
Dallas,2025-01-09,23.3,24.0,165.7,011000,,32.89744,-97.02196,39.9,,28.0,,8.9,"DAL FTW WSCMO AIRPORT, TX US",0.0,,1024.3,18.0,,72259003927,2.0,24.0,33.6,24.0,6.7,24.0,3.8,24.0
Dallas,2025-01-10,29.7,24.0,165.7,011000,26.0,32.89744,-97.02196,37.9,,30.9,,20.0,"DAL FTW WSCMO AIRPORT, TX US",1.56,,1018.5,19.0,,72259003927,996.3,24.0,33.3,24.0,4.6,24.0,10.2,24.0
Dallas,2025-01-11,25.4,24.0,165.7,000000,28.0,32.89744,-97.02196,55.0,,23.0,,22.0,"DAL FTW WSCMO AIRPORT, TX US",0.03,,1016.4,24.0,,72259003927,994.1,24.0,36.4,24.0,10.0,24.0,9.2,24.0
Dallas,2025-01-12,28.0,24.0,165.7,000000,21.0,32.89744,-97.02196,55.0,,23.2,,15.9,"DAL FTW WSCMO AIRPORT, TX US",0.0,,1011.9,24.0,,72259003927,990.7,24.0,44.7,24.0,10.0,24.0,11.0,24.0
Dallas,2025-01-13,23.0,24.0,165.7,000000,20.0,32.89744,-97.02196,53.1,,27.0,,14.0,"DAL FTW WSCMO AIRPORT, TX US",0.0,,1025.6,24.0,,72259003927,3.8,24.0,40.6,24.0,10.0,24.0,8.8,24.0
Dallas,2025-01-14,24.2,24.0,165.7,000000,,32.89744,-97.02196,55.9,,28.9,,7.0,"DAL FTW WSCMO AIRPORT, TX US",0.0,,1028.7,24.0,,72259003927,6.6,24.0,41.3,24.0,10.0,24.0,2.6,24.0
Dallas,2025-01-15,27.5,24.0,165.7,000000,,32.89744,-97.02196,62.1,,30.2,,8.9,"DAL FTW WSCMO AIRPORT, TX US",0.0,,1029.1,24.0,,72259003927,7.2,24.0,45.0,24.0,10.0,24.0,3.2,24.0
Dallas,2025-01-16,30.9,24.0,165.7,000000,14.0,32.89744,-97.02196,63.0,,32.0,,12.0,"DAL FTW WSCMO AIRPORT, TX US",0.0,,1028.3,24.0,,72259003927,6.0,24.0,46.9,24.0,10.0,24.0,5.9,24.0
Dallas,2025-01-17,31.6,24.0,165.7,010000,28.9,32.89744,-97.02196,63.0,,32.0,,22.0,"DAL FTW WSCMO AIRPORT, TX US",0.0,,1013.8,24.0,,72259003927,991.7,24.0,50.7,24.0,10.0,24.0,11.1,24.0
Dallas,2025-01-18,31.3,24.0,165.7,000000,29.9,32.89744,-97.02196,63.0,,39.0,,22.0,"DAL FTW WSCMO AIRPORT, TX US",0.0,,1010.1,24.0,,72259003927,989.4,24.0,49.1,24.0,9.7,24.0,16.1,24.0
Dallas,2025-01-19,8.4,24.0,165.7,000000,35.0,32.89744,-97.02196,43.0,,21.9,,24.1,"DAL FTW WSCMO AIRPORT, TX US",0.0,,1029.3,24.0,,72259003927,7.3,24.0,29.5,24.0,10.0,24.0,16.7,24.0
Dallas,2025-01-20,2.8,24.0,165.7,000000,15.0,32.89744,-97.02196,34.0,,19.9,,9.9,"DAL FTW WSCMO AIRPORT, TX US",0.0,,1033.3,24.0,,72259003927,10.9,24.0,26.6,24.0,10.0,24.0,7.5,24.0
Dallas,2025-01-21,7.9,24.0,165.7,001000,22.0,32.89744,-97.02196,34.0,,19.9,,15.9,"DAL FTW WSCMO AIRPORT, TX US",0.0,,1038.7,24.0,,72259003927,16.1,24.0,28.6,24.0,9.8,24.0,10.6,24.0
Dallas,2025-01-22,10.9,24.0,165.7,000000,27.0,32.89744,-97.02196,51.1,,21.9,,18.1,"DAL FTW WSCMO AIRPORT, TX US",0.0,,1028.9,24.0,,72259003927,6.2,24.0,32.1,24.0,10.0,24.0,10.9,24.0
Dallas,2025-01-23,18.5,24.0,165.7,000000,,32.89744,-97.02196,51.1,,22.1,,12.0,"DAL FTW WSCMO AIRPORT, TX US",0.0,,1029.8,24.0,,72259003927,7.8,24.0,38.6,24.0,10.0,24.0,8.2,24.0
Dallas,2025-01-24,16.8,24.0,165.7,000000,28.0,32.89744,-97.02196,57.9,,24.1,,15.9,"DAL FTW WSCMO AIRPORT, TX US",0.0,,1029.9,24.0,,72259003927,7.5,24.0,39.5,24.0,10.0,24.0,8.7,24.0
Dallas,2025-01-25,23.1,24.0,165.7,000000,28.9,32.89744,-97.02196,59.0,,25.2,,22.9,"DAL FTW WSCMO AIRPORT, TX US",0.0,,1022.1,24.0,,72259003927,0.4,24.0,47.0,24.0,10.0,24.0,13.1,24.0
Dallas,2025-01-26,45.6,24.0,165.7,110000,,32.89744,-97.02196,59.0,,39.0,,13.0,"DAL FTW WSCMO AIRPORT, TX US",0.0,,1023.8,14.0,,72259003927,1.9,22.0,48.9,24.0,4.5,24.0,6.8,24.0
Dallas,2025-01-27,25.6,24.0,165.7,000000,14.0,32.89744,-97.02196,53.1,,30.9,,13.0,"DAL FTW WSCMO AIRPORT, TX US",0.0,,1025.8,24.0,,72259003927,3.8,24.0,41.2,24.0,10.0,24.0,8.1,24.0
Dallas,2025-01-28,31.2,24.0,165.7,000000,,32.89744,-97.02196,59.0,,46.9,,6.0,"DAL FTW WSCMO AIRPORT, TX US",0.0,,1020.6,23.0,,72259003927,998.9,24.0,51.2,24.0,10.0,24.0,2.5,24.0
Dallas,2025-01-29,49.3,24.0,165.7,110000,,32.89744,-97.02196,59.0,,48.9,,9.9,"DAL FTW WSCMO AIRPORT, TX US",0.02,,1016.4,19.0,,72259003927,995.1,21.0,55.0,24.0,5.0,24.0,4.7,24.0
Dallas,2025-01-30,53.7,24.0,165.7,010010,18.1,32.89744,-97.02196,69.1,,52.0,,13.0,"DAL FTW WSCMO AIRPORT, TX US",3.98,,1009.2,19.0,,72259003927,988.4,23.0,60.3,24.0,6.3,24.0,8.0,24.0
Dallas,2025-01-31,33.0,24.0,165.7,000000,33.0,32.89744,-97.02196,69.1,,46.9,,19.0,"DAL FTW WSCMO AIRPORT, TX US",0.13,,1013.3,23.0,,72259003927,991.4,21.0,56.3,24.0,9.8,24.0,12.8,24.0
Dallas,2025-02-01,30.7,24.0,165.7,000000,,32.89744,-97.02196,71.1,,37.0,,13.0,"DAL FTW WSCMO AIRPORT, TX US",0.0,,1020.7,24.0,,72259003927,999.2,17.0,53.6,24.0,10.0,24.0,6.4,24.0
Dallas,2025-02-02,36.0,24.0,165.7,000000,,32.89744,-97.02196,78.1,,37.0,,14.0,"DAL FTW WSCMO AIRPORT, TX US",0.0,,1015.6,24.0,,72259003927,994.1,24.0,60.7,24.0,10.0,24.0,9.9,24.0
Dallas,2025-02-03,51.7,24.0,165.7,000000,22.0,32.89744,-97.02196,84.0,,46.0,,15.9,"DAL FTW WSCMO AIRPORT, TX US",0.0,,1013.2,24.0,,72259003927,992.1,24.0,67.7,24.0,10.0,24.0,12.7,24.0
Dallas,2025-02-04,57.1,24.0,165.7,010000,,32.89744,-97.02196,84.0,,51.1,,14.0,"DAL FTW WSCMO AIRPORT, TX US",0.0,,1016.8,20.0,,72259003927,996.2,23.0,63.6,24.0,6.9,24.0,8.8,24.0
Dallas,2025-02-05,49.0,24.0,165.7,110000,22.9,32.89744,-97.02196,75.0,,46.9,,15.0,"DAL FTW WSCMO AIRPORT, TX US",0.01,,1017.1,22.0,,72259003927,995.7,21.0,52.5,24.0,3.2,24.0,5.7,24.0
Dallas,2025-02-06,62.6,24.0,165.7,000000,22.0,32.89744,-97.02196,82.9,,63.0,,15.0,"DAL FTW WSCMO AIRPORT, TX US",0.0,,1011.6,24.0,,72259003927,990.7,24.0,70.8,24.0,9.3,24.0,10.5,24.0
Dallas,2025-02-07,50.2,24.0,165.7,000000,,32.89744,-97.02196,84.0,,48.9,,17.1,"DAL FTW WSCMO AIRPORT, TX US",0.0,,1015.4,24.0,,72259003927,994.2,24.0,57.3,24.0,6.9,24.0,6.9,24.0
Dallas,2025-02-08,60.6,24.0,165.7,000000,28.9,32.89744,-97.02196,88.0,,48.9,,22.9,"DAL FTW WSCMO AIRPORT, TX US",0.0,,1011.3,24.0,,72259003927,990.3,24.0,71.6,24.0,9.4,24.0,14.1,24.0
